web_scraper_order,web_scraper_start_url,price,description,sku,name,data,brand,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,image
"1778257121-1","https://www.infinit.com.uy/catalogo/conectividad/infinit/","8","1 Año de Garantía","PRV-SWI77","Switch HIKVISION DS-3E0105D-O 5 Puertos 10/100 Carcasa Plástica","","HIKVISION","",",00","0","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","Cantidad","","","https://www.infinit.com.uy/imgs/productos/productos1_37830.jpg"
"1778257121-2","https://www.infinit.com.uy/catalogo/conectividad/infinit/","9","Garantía: 1 AÑO / NUEVO","MW300UH","Adaptador Tarjeta De Red Usb Wifi MERCUSYS MW300UH 300mbps 2 Antenas Externas","-25%","MERCUSYS","25",",00","12","USD","Cód.","Comprar","","","","Antes","USD",",00","Ahora","IVA inc.","En stock","En stock","Cantidad","","%","https://www.infinit.com.uy/imgs/productos/productos3_8964.jpg"
"1778257121-3","https://www.infinit.com.uy/catalogo/conectividad/infinit/","9","Garantía: 1 AÑO / NUEVO","MW300UM","Adaptador Usb Wifi Inalambrico MERCUSYS Mw300um 300Mbps","-31%","MERCUSYS","31",",00","13","USD","Cód.","Comprar","","NEGRO","","Antes","USD",",00","Ahora","IVA inc.","En stock","En stock","Cantidad","Color","%","https://www.infinit.com.uy/imgs/productos/productos3_9494.jpg"
"1778257121-4","https://www.infinit.com.uy/catalogo/conectividad/infinit/","10","Garantía: 2 AÑOS / NUEVO","MU6H","Adaptador Usb Wifi Inalambrico MERCUSYS AC650 633Mbps Antena 5dBi Dual Band Alta Ganancia","-29%","MERCUSYS","29",",00","14","USD","Cód.","","Consultar","NEGRO","","Antes","USD",",00","Ahora","IVA inc.","Agotado","Agotado","","Color","%","https://www.infinit.com.uy/imgs/productos/productos3_14460.jpg"
"1778257121-5","https://www.infinit.com.uy/catalogo/conectividad/infinit/","10","1 Año de Garantía","PRV-SWI78","Switch HIKVISION DS-3E0108D-O 8 Puertos 10/100 Carcasa Plástica","","HIKVISION","",",70","0","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","Cantidad","","","https://www.infinit.com.uy/imgs/productos/productos3_37832.jpg"
"1778257121-6","https://www.infinit.com.uy/catalogo/conectividad/infinit/","12","1 Año de Garantía","PRV-SWI08","Switch TENDA S108 8 Puertos 10/100 Carcasa Plástica","","TENDA","",",10","0","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","Cantidad","","","https://www.infinit.com.uy/imgs/productos/productos3_37798.jpg"
"1778257121-7","https://www.infinit.com.uy/catalogo/conectividad/infinit/","13","Garantía: 1 AÑO / NUEVO","TAPOP100","Enchufe Inteligente TPLINK TAPO P100 Wifi Carga 2300w 10a Android iOS Control Con Google Assistant Amazon Alexa","-24%","TP-LINK","24",",00","17","USD","Cód.","Comprar","","","","Antes","USD",",00","Ahora","IVA inc.","En stock","En stock","Cantidad","","%","https://www.infinit.com.uy/imgs/productos/productos3_25618.jpg"
"1778257121-8","https://www.infinit.com.uy/catalogo/conectividad/infinit/","14","Garantía: 2 AÑOS / NUEVO","T2U","Adaptador Usb Wifi Inalambrico TP-LINK T2U Doble Banda AC600 433Mbps + 200Mbps 2.4 y 5Ghz","-7%","TP-LINK","7",",00","15","USD","Cód.","","Consultar","","","Antes","USD",",00","Ahora","IVA inc.","Agotado","Agotado","","","%","https://www.infinit.com.uy/imgs/productos/productos3_40402.jpg"
"1778257121-9","https://www.infinit.com.uy/catalogo/conectividad/infinit/","15","1 Año de Garantía","PRV-SWI75","Switch HIKVISION DS-3E0505D-O 5 Puertos Gigabit Carcasa Plástica","","HIKVISION","",",40","0","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","Cantidad","","","https://www.infinit.com.uy/imgs/productos/productos3_37827.jpg"
"1778257121-10","https://www.infinit.com.uy/catalogo/conectividad/infinit/","20","Garantía: 1 AÑO / NUEVO","T02416","Repetidor Wifi MERCUSYS MW300RE 300mbps Inalambrico 2 Antenas Exteriores","","MERCUSYS","",",00","0","USD","Cód.","Comprar","","BLANCO","","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_37333.jpg"
"1778257121-11","https://www.infinit.com.uy/catalogo/conectividad/infinit/","20","Garantía: 1 AÑO / NUEVO","MS108G","Switch Mercusys Ms108g 8 Puertos Gigabit Soporte Mdi Mdix","-13%","MERCUSYS","13",",00","23","USD","Cód.","Comprar","","","Destacado","Antes","USD",",00","Ahora","IVA inc.","En stock","En stock","Cantidad","","%","https://www.infinit.com.uy/imgs/productos/productos3_21999.jpg"
"1778257121-12","https://www.infinit.com.uy/catalogo/conectividad/infinit/","20","Garantía: 1 AÑO / NUEVO","TAPOP100X2","Enchufe Inteligente TPLINK TAPO P100 X2 Wifi Carga 2300w 10a Android iOS Control Con Google Assistant Amazon Alexa","-5%","TP-LINK","5",",00","21","USD","Cód.","Comprar","","BLANCO","","Antes","USD",",00","Ahora","IVA inc.","En stock","En stock","Cantidad","Color","%","https://www.infinit.com.uy/imgs/productos/productos3_36115.jpg"
"1778257121-13","https://www.infinit.com.uy/catalogo/conectividad/infinit/","21","1 Año de Garantía","PRV-SWI79","Switch HIKVISION DS-3E0505-O 5 Puertos Gigabit Carcasa Metal","","HIKVISION","",",10","0","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","Cantidad","","","https://www.infinit.com.uy/imgs/productos/productos3_37834.jpg"
"1778257121-14","https://www.infinit.com.uy/catalogo/conectividad/infinit/","26","Garantía: 2 AÑOS / NUEVO","ARCHERT4U","Adaptador Usb Wifi Tplink T4u Dual Band Ac1300 2.4 y 5Ghz 2 Antenas Externas De Alta Ganancia","-4%","TP-LINK","4",",00","27","USD","Cód.","Comprar","","NEGRO","","Antes","USD",",00","Ahora","IVA inc.","En stock","En stock","Cantidad","Color","%","https://www.infinit.com.uy/imgs/productos/productos3_31717.jpg"
