web_scraper_order,web_scraper_start_url,price,description,sku,name,data,data2,data3,data4,data5,brand,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,image
"1778257240-1","https://www.infinit.com.uy/catalogo/movil/infinit/","206","Garantía: 1 AÑO / NUEVO","TAB740","Tablet CHUWI AuPAD 11 Octa Core Lte 4G Ram 8Gb 128Gb Pantalla IPS 11"" Android 14 2 Cámaras","","USD","Comprar","Cód.","","CHUWI","Medida","Antes","USD","0","Precio","IVA inc.","Cantidad","En stock","En stock","","https://www.infinit.com.uy/imgs/productos/productos3_39616.jpg"
"1778257240-2","https://www.infinit.com.uy/catalogo/movil/infinit/","292","Año 2025","PRV-TAB782","Tablet SAMSUNG X135 Galaxy Tab A11 8.7"" 4+64GB LTE Gris",",80","USD","Comprar","Cód.","Nuevo","SAMSUNG","","Antes","USD","0","Precio","IVA inc.","Cantidad","En stock","En stock",",00","https://www.infinit.com.uy/imgs/productos/productos1_41320.jpg"
"1778257240-3","https://www.infinit.com.uy/catalogo/movil/infinit/","300","Año 2025","PRV-TAB800","Tablet SAMSUNG X133 Galaxy Tab A11 8.7"" 8+128GB gris",",40","USD","Comprar","Cód.","Nuevo","SAMSUNG","","Antes","USD","0","Precio","IVA inc.","Cantidad","En stock","En stock",",00","https://www.infinit.com.uy/imgs/productos/productos3_41323.jpg"
"1778257240-4","https://www.infinit.com.uy/catalogo/movil/infinit/","410","Garantía: 1 AÑO / NUEVO","TDHKS10","Tableta Digitalizadora HUION KAMVAS SLATE 10 KT-1001 Pantalla 10.1"" Lápiz Estuche Android",",00","USD","Comprar","Cód.","","HUION","Medida","Antes","USD","0","Precio","IVA inc.","Cantidad","En stock","En stock",",00","https://www.infinit.com.uy/imgs/productos/productos3_40103.jpg"
"1778257240-5","https://www.infinit.com.uy/catalogo/movil/infinit/","437","Pantalla LCD Full HD 11""","PRV-TAB792","Tablet SAMSUNG X230 Galaxy Tab A11+ 8+256GB Gris",",70","USD","Comprar","Cód.","Nuevo","SAMSUNG","","Antes","USD","0","Precio","IVA inc.","Cantidad","En stock","En stock",",00","https://www.infinit.com.uy/imgs/productos/productos3_41402.jpg"
"1778257240-6","https://www.infinit.com.uy/catalogo/movil/infinit/","491","Pantalla LCD Full HD 11""","PRV-TAB810","Tablet SAMSUNG X236 Galaxy Tab A11+ 5G 8+256GB Gris",",05","USD","Comprar","Cód.","Nuevo","SAMSUNG","","Antes","USD","0","Precio","IVA inc.","Cantidad","En stock","En stock",",00","https://www.infinit.com.uy/imgs/productos/productos1_41325.jpg"
"1778257240-7","https://www.infinit.com.uy/catalogo/movil/infinit/","573","Año 2025. Incluye Lapiz Stylus","PRV-TAB793","Tablet SAMSUNG X406 Tab S10 Lite 5G 6+128GB 11"" Gris",",40","USD","Comprar","Cód.","Nuevo","SAMSUNG","","Antes","USD","0","Precio","IVA inc.","Cantidad","En stock","En stock",",00","https://www.infinit.com.uy/imgs/productos/productos3_41322.jpg"
"1778257240-8","https://www.infinit.com.uy/catalogo/movil/infinit/","740","Garantía: 1 AÑO / NUEVO","TDXPPI16","Tableta Digitalizadora XP-PEN Innovator Id160F Con Lapiz 15.6 Usb Windows Mac",",00","USD","Comprar","Cód.","","XP PEN","Color","Antes","USD","841","Ahora","IVA inc.","Cantidad","En stock","En stock",",00","https://www.infinit.com.uy/imgs/productos/productos3_16979.jpg"
"1778257240-9","https://www.infinit.com.uy/catalogo/movil/infinit/","829","Incluye Lapiz Stylus","PRV-TAB802","Tablet SAMSUNG X526 Tab S10 FE 8+128GB 5G 11"" Gris",",60","USD","Comprar","Cód.","Nuevo","SAMSUNG","","Antes","USD","0","Precio","IVA inc.","Cantidad","En stock","En stock",",00","https://www.infinit.com.uy/imgs/productos/productos1_41316.jpg"
"1778257240-10","https://www.infinit.com.uy/catalogo/movil/infinit/","1.272","Incluye Lapiz Stylus","PRV-TAB725","Tablet SAMSUNG X820 Tab S10+ 12+256GB 12.4"" Gris",",50","USD","Comprar","Cód.","Nuevo","SAMSUNG","","Antes","USD","0","Precio","IVA inc.","Cantidad","En stock","En stock",",00","https://www.infinit.com.uy/imgs/productos/productos3_41317.jpg"
"1778257240-11","https://www.infinit.com.uy/catalogo/movil/infinit/","2.052","Incluye Lapiz Stylus","PRV-TAB771","Tablet SAMSUNG X930 Tab S11 Ultra 12+512GB 14.6"" Gris",",82","USD","Comprar","Cód.","Nuevo","SAMSUNG","","Antes","USD","0","Precio","IVA inc.","Cantidad","En stock","En stock",",00","https://www.infinit.com.uy/imgs/productos/productos3_41314.jpg"
