web_scraper_order,web_scraper_start_url,price,description,sku,name,data,data2,data3,brand,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,image
"1778255771-1","https://www.infinit.com.uy/catalogo/gamer/infinit/","4","Garantía: 20 DIAS/NUEVO","MPAMP810","MousePad ACER Nitro Amp810","-56%","NEGRO","56","ACER","9",",00","USD","Cód.","","","Color","Comprar","","","Antes","USD",",00","Ahora","IVA inc.","En stock","En stock","","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos1_30012.jpg"
"1778255771-2","https://www.infinit.com.uy/catalogo/gamer/infinit/","6","Garantía: 3 MESES / NUEVO","SHOT8236","Teclado Shot Gaming Shot8236 Home And Office Usb 105 Teclas Español Negra","","NEGRO","","SHOT GAMING","0",",00","USD","Cód.","","","Color","Comprar","","","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_29611.jpg"
"1778255771-3","https://www.infinit.com.uy/catalogo/gamer/infinit/","320","Garantía: 5 DIAS / NUEVO","LD301","Tira Led Raidmax LD301 Gluhen Rgb 30cm 18 Leds Con Control Remoto","-1%","NEGRO","1","RAIDMAX","323",",00","$U","Cód.","","","Color","Comprar","Destacado","","Antes","$U",",20","Ahora","IVA inc.","En stock","En stock","","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_8337.jpg"
"1778255771-4","https://www.infinit.com.uy/catalogo/gamer/infinit/","8","Garantía: 1 AÑO / NUEVO","MPPRGB","Mouse Gamer PERSEO Perses Rgb 4000dpi 6 Botones","-20%","","20","PERSEO","10",",00","USD","Cód.","","","","Comprar","","","Antes","USD",",00","Ahora","IVA inc.","En stock","En stock","","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_22451.jpg"
"1778255771-5","https://www.infinit.com.uy/catalogo/gamer/infinit/","12","Garantía: 1 AÑO / NUEVO","MPSTRGB","Mouse Gamer Perseo Sthenelus Rgb 6 Modos De Iluminacion 6 Botones","-8%","","8","PERSEO","13",",00","USD","Cód.","","","","Comprar","Destacado","","Antes","USD",",00","Ahora","IVA inc.","En stock","En stock","","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos1_22457.jpg"
"1778255771-6","https://www.infinit.com.uy/catalogo/gamer/infinit/","12","Garantía: 1 AÑO / NUEVO","MG08","Mousepad Marvo Scorpion Pro MG08 Iluminacion Rgb Usb 35 x 25cm","-8%","","8","MARVO","13",",00","USD","Cód.","","","","Comprar","Destacado","","Antes","USD",",00","Ahora","IVA inc.","En stock","En stock","","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos1_25548.jpg"
"1778255771-7","https://www.infinit.com.uy/catalogo/gamer/infinit/","14","Garantía: 1 AÑO / NUEVO","195991","Mouse Pad LOGITECH Studio Series Resistente A Salpicaduras Superficie De Poliester Reciclado y Base Antideslizante","","AZUL","","LOGITECH","0",",00","USD","Cód.","","Consultar","NEGRO","","","","Antes","USD",",00","Precio","IVA inc.","Agotado","Agotado","","","","https://www.infinit.com.uy/imgs/productos/productos3_20900.jpg"
"1778255771-8","https://www.infinit.com.uy/catalogo/gamer/infinit/","16","1 AÑO DE GARANTIA / NUEVO","4044951021567","Mouse Pad Gamer Sharkoon 1337 Gaming Rgb Talle L 35.9 x 27.9 x 0.3cm","-50%","","50","SHARKOON","32",",00","USD","Cód.","L","","Medida","Comprar","Destacado","","Antes","USD",",00","Ahora","IVA inc.","En stock","En stock","","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_8892.jpg"
"1778255771-9","https://www.infinit.com.uy/catalogo/gamer/infinit/","22","Garantía: 1 AÑO / NUEVO","4170","Mouse Gamer T-Dagger Imperial T-Tgm310w Rgb 7200Dpi 8 Botones","","BLANCO","","","0",",00","USD","Cód.","","","Color","Comprar","","","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_22978.jpg"
"1778255771-10","https://www.infinit.com.uy/catalogo/gamer/infinit/","22","Garantía: FUNCIONAL / NUEVO","I01610","Mouse Pad FANTECH MP903 Space Edition 90 x 40 x 4mm Gris Base Antideslizante","","GRIS","","FANTECH","0",",00","USD","Cód.","","","Color","Comprar","","","Antes","USD",",00","Precio","IVA inc.","En stock","En stock","","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_38337.jpg"
