web_scraper_order,web_scraper_start_url,sku,position,description,name,data,data2,data3,brand,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,image
"1778257364-1","https://www.infinit.com.uy/catalogo/hardware/infinit/","2554","","6 MESES DE GARANTIA / EXTRAIDOS DE EQUIPOS","DISCO DURO 250GB 2.5 SATA OEM MARCAS VARIAS 5400RPM","","","","","Cód.","","2.5""","Consultar","","","","","","Agotado","Agotado","Medida","","","","","","","","","https://www.infinit.com.uy/imgs/productos/productos3_12635.jpg"
"1778257364-2","https://www.infinit.com.uy/catalogo/hardware/infinit/","PRV-MOT211","","Socket AMD Ryzen AM4","Motherboard ASUS TUF Gaming B550M-Plus WiFi II AM4","","","","ASUS","Cód.","","","Consultar","","","","Nuevo","","En stock","En stock","","","","","","","","","","https://www.infinit.com.uy/imgs/productos/productos3_41422.png"
"1778257364-3","https://www.infinit.com.uy/catalogo/hardware/infinit/","GRA100","1","Garantía: FUNCIONAL / NUEVO","Pasta Termica Grasa Siliconada 1grs","","","","","Cód.",",00","","","Comprar","0","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_25761.jpg"
"1778257364-4","https://www.infinit.com.uy/catalogo/hardware/infinit/","821","5","1 AÑOS DE GARANTÍA / EXTRAIDAS DE EQUIPOS","Memoria Ram Sodimm 1Gb Ddr3 1333Mhz Generica Para Notebook Varias Marcas","-38%","","38","GENERICO","Cód.",",00","","","Comprar","8","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_8590.jpg"
"1778257364-5","https://www.infinit.com.uy/catalogo/hardware/infinit/","PRV-COO60","5","1 Año de Garantía","Cooler DEEPCOOL CK-11509 Para Intel","","","","DEEPCOOL","Cód.",",80","","","Comprar","0","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_37686.jpg"
"1778257364-6","https://www.infinit.com.uy/catalogo/hardware/infinit/","822","8","","Memoria RAM SodimmI 4Gb Ddr3 1600Mhz para Notebooks Varias Marcas","-47%","","47","","Cód.",",00","","Consultar","","15","USD","","","Agotado","Agotado","","","",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_38290.jpg"
"1778257364-7","https://www.infinit.com.uy/catalogo/hardware/infinit/","SHOTRGBCOOLING","10","Garantía: FUNCIONAL / NUEVO","Fan Cooler Shot Gaming 120mm Led Rgb Para Gabinete","-17%","NEGRO","17","SHOT GAMING","Cód.",",00","","Consultar","","12","USD","","","Agotado","Agotado","Color","","",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_27292.jpg"
"1778257364-8","https://www.infinit.com.uy/catalogo/hardware/infinit/","586","481","Garantía: 1 AÑO / NUEVO","Ventilador Raidmax 140mm Led Azul Cobra Fan Cooler","-15%","AZUL","15","RAIDMAX","Cód.","","140MM","","Comprar","565","$U","","Destacado","En stock","En stock","Medida","Color","Cantidad",",60","Antes","$U","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_8491.jpg"
"1778257364-9","https://www.infinit.com.uy/catalogo/hardware/infinit/","COO07","15","Garantía: 1 AÑO / NUEVO","Fan Cooler Cpu DEEPCOOL ICE Edge Mini Fs v2.0 Intel y Amd","","AZUL","","DEEPCOOL","Cód.",",00","","","Comprar","15","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_11159.jpg"
"1778257364-10","https://www.infinit.com.uy/catalogo/hardware/infinit/","4044951028924","16","Garantía: 1 AÑO / NUEVO","Fan Cooler Ventilador Sharkoon Shark Light Rgb 120mm 20 Leds","-11%","NEGRO","11","SHARKOON","Cód.",",00","120MM","","Comprar","18","USD","","Destacado","En stock","En stock","Medida","Color","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_11772.jpg"
"1778257364-11","https://www.infinit.com.uy/catalogo/hardware/infinit/","FCPS500","17","GARANTIA FUNCIONAL / NUEVO","Fuente de Poder COMSTAR 500w Atx Generica Sata Molex Para Pc","-61%","","61","GENERICO","Cód.",",00","","","Comprar","44","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_8735.jpg"
"1778257364-12","https://www.infinit.com.uy/catalogo/hardware/infinit/","MEM368","17","Garantía: 1 AÑO / NUEVO","Memoria Ram Sodimm HIKSEMI 4Gb Ddr3 1600Mhz","-15%","NEGRO","15","HIKSEMI","Cód.",",00","","","Comprar","20","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_38287.jpg"
"1778257364-13","https://www.infinit.com.uy/catalogo/hardware/infinit/","BFXTG50","21","Garantía: FUNCIONAL / NUEVO","Pasta Termica Grasa Siliconada THERMALTAKE Tg-50 4grs Cl-O024-grosgm-a","","GRIS","","THERMALTAKE","Cód.",",00","","","Comprar","0","USD","","","En stock","En stock","Color","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_30105.jpg"
"1778257364-14","https://www.infinit.com.uy/catalogo/hardware/infinit/","12306","30","Garantía: 1 AÑO / NUEVO","Memoria RAM Sodimm 4Gb Ddr4 3200Mhz Para Notebook Laptop Netbook","-14%","","14","OEM","Cód.",",00","","","Comprar","35","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Ahora","IVA inc.","%","https://www.infinit.com.uy/imgs/productos/productos3_21175.jpg"
"1778257364-15","https://www.infinit.com.uy/catalogo/hardware/infinit/","PRV-FAN75","30","1 Año de Garantía","Fan Cooler DEEPCOOL FC120 Argb Para Gabinetes","","","","DEEPCOOL","Cód.",",04","","","Comprar","0","USD","","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_37724.jpg"
"1778257364-16","https://www.infinit.com.uy/catalogo/hardware/infinit/","PRV-FAN104","31","Compacto, silencioso e intuitivo","Cooler Disipador Cpu BE QUIET! Pure Rock Slim 3","","","","BE QUIET!","Cód.",",70","","","Comprar","0","USD","Nuevo","","En stock","En stock","","","Cantidad",",00","Antes","USD","Precio","IVA inc.","","https://www.infinit.com.uy/imgs/productos/productos3_41219.jpg"
