web_scraper_order,web_scraper_start_url,price,description,sku,name,data,data2,brand,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,image
"1778257264-1","https://www.infinit.com.uy/catalogo/hogar/infinit/","14","Accesorio original","PRV-ACC57","Protector para cámara con estabilizador Potensic","",",12","Potensic","USD","Comprar","Cód.","Nuevo","Antes","USD","0",",00","Precio","IVA inc.","Cantidad","En stock","En stock","","https://www.infinit.com.uy/imgs/productos/productos3_41161.jpg"
"1778257264-2","https://www.infinit.com.uy/catalogo/hogar/infinit/","14","Garantía Funcional / Nuevo","PRV-FIL06","Filtro para Aspiradora portátil XIAOMI Mi Vacuum Cleaner Mini Pack 2 Unidades","",",80","XIAOMI","USD","Comprar","Cód.","","Antes","USD","0",",00","Precio","IVA inc.","Cantidad","En stock","En stock","","https://www.infinit.com.uy/imgs/productos/productos3_37902.jpg"
"1778257264-3","https://www.infinit.com.uy/catalogo/hogar/infinit/","15","Accesorio original","PRV-ACC53","Hélices de repuesto para Potensic Atom SE","",",70","Potensic","USD","Comprar","Cód.","Nuevo","Antes","USD","0",",00","Precio","IVA inc.","Cantidad","En stock","En stock","","https://www.infinit.com.uy/imgs/productos/productos3_41139.jpg"
"1778257264-4","https://www.infinit.com.uy/catalogo/hogar/infinit/","15","Accesorio original","PRV-ACC52","Hélices de repuesto para Potensic Atom","",",70","Potensic","USD","Comprar","Cód.","Nuevo","Antes","USD","0",",00","Precio","IVA inc.","Cantidad","En stock","En stock","","https://www.infinit.com.uy/imgs/productos/productos3_41144.jpg"
"1778257264-5","https://www.infinit.com.uy/catalogo/hogar/infinit/","16","Garantía: FUNCIONAL / NUEVO","681","Aire Comprimido Manhattan 226g 80oz Con Pajilla De Extension 15cm Air Duster","BLANCO",",00","MANHATTAN","USD","Comprar","Cód.","","Antes","USD","14",",00","Ahora","IVA inc.","Cantidad","En stock","En stock","Color","https://www.infinit.com.uy/imgs/productos/productos3_14285.jpg"
"1778257264-6","https://www.infinit.com.uy/catalogo/hogar/infinit/","28","Accesorio original","PRV-ACC59","Set de Cables USB OTG Potensic","",",23","Potensic","USD","Comprar","Cód.","Nuevo","Antes","USD","0",",00","Precio","IVA inc.","Cantidad","En stock","En stock","","https://www.infinit.com.uy/imgs/productos/productos3_41147.jpg"
"1778257264-7","https://www.infinit.com.uy/catalogo/hogar/infinit/","42","Garantía: 1 AÑO / NUEVO","FUFIIM8TWIN","Pelicula Fotografica Fujifilm Instantanea Pack 10x2 54x86mm","",",00","FUJIFILM","USD","Comprar","Cód.","","Antes","USD","42",",00","Precio","IVA inc.","Cantidad","En stock","En stock","","https://www.infinit.com.uy/imgs/productos/productos3_25166.jpg"
"1778257264-8","https://www.infinit.com.uy/catalogo/hogar/infinit/","46","Garantía: 1 AÑO / NUEVO","AR-4080VT","Ventilador De Pie Ariete Ar-4080vt 3 En 1 50cm 3 Velocidades","BLANCO",",00","ARIETE","USD","Comprar","Cód.","","Antes","USD","0",",00","Precio","IVA inc.","Cantidad","En stock","En stock","Color","https://www.infinit.com.uy/imgs/productos/productos3_25090.jpg"
"1778257264-9","https://www.infinit.com.uy/catalogo/hogar/infinit/","48","GRANTIA FUNCIONAL / NUEVO","SIL24","Silla Oficina Ejecutiva de Escritorio A998 Mesh Pozabrasos Tapizado en Malla Giratoria con Ruedas Regulable en Altura","NEGRO",",00","UNSI","USD","Comprar","Cód.","","Antes","USD","0",",00","Precio","IVA inc.","Cantidad","En stock","En stock","","https://www.infinit.com.uy/imgs/productos/productos3_12653.jpg"
"1778257264-10","https://www.infinit.com.uy/catalogo/hogar/infinit/","48","Accesorio original","PRV-ACC58","Bolso para transporte de Drones Potensic","",",34","Potensic","USD","Comprar","Cód.","Nuevo","Antes","USD","0",",00","Precio","IVA inc.","Cantidad","En stock","En stock","","https://www.infinit.com.uy/imgs/productos/productos3_41140.jpg"
