web_scraper_order,web_scraper_start_url,price,description,sku,name,data,data2,brand,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,image
"1778257048-1","https://www.infinit.com.uy/catalogo/imagen-audio/infinit/","11","Garantía: 1 AÑO / NUEVO","AUR16","Auricular JBL T110 Micrófono 3.5mm Negro","","NEGRO","JBL","","0","USD","Cód.",",00","Consultar","Color","","","","Antes","USD","Precio","IVA inc.","Agotado","Agotado",",00","","","","https://www.infinit.com.uy/imgs/productos/productos3_40311.jpg"
"1778257048-2","https://www.infinit.com.uy/catalogo/imagen-audio/infinit/","11","Garantía: 6 MESES / NUEVO","AUR14","Auricular JBL T110 Micrófono 3.5mm Blanco","","BLANCO","JBL","","0","USD","Cód.",",00","","Color","Comprar","","","Antes","USD","Precio","IVA inc.","En stock","En stock",",00","Cantidad","","","https://www.infinit.com.uy/imgs/productos/productos3_40312.jpg"
"1778257048-3","https://www.infinit.com.uy/catalogo/imagen-audio/infinit/","15","GARANTIA FUNCIONAL / NUEVO","SOP65","SOPORTE PARA TV LED LCD BRATECK LDA23-113 MOVIL HASTA 27","","NEGRO","BRATECK","","15","USD","Cód.",",00","","Color","Comprar","","Destacado","Antes","USD","Precio","IVA inc.","En stock","En stock",",00","Cantidad","","","https://www.infinit.com.uy/imgs/productos/productos3_11905.jpg"
"1778257048-4","https://www.infinit.com.uy/catalogo/imagen-audio/infinit/","19","Garantía: 1 AÑO / NUEVO","AUD33","Auriculares Genius Hs-04su 3.5mm Con Microfono y Cancelacion De Ruido","-14%","NEGRO","GENIUS","14","22","USD","Cód.",",00","","Color","Comprar","","Destacado","Antes","USD","Ahora","IVA inc.","En stock","En stock",",00","Cantidad","","%","https://www.infinit.com.uy/imgs/productos/productos3_21948.jpg"
"1778257048-5","https://www.infinit.com.uy/catalogo/imagen-audio/infinit/","21","Garantía: 1 AÑO / NUEVO","PAR122","Parlante EDIFIER R12u 2.0 2w Rms Aux Pc Tablet Celular Rojo","-25%","ROJO","EDIFIER","25","28","USD","Cód.",",00","","Color","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock",",00","Cantidad","","%","https://www.infinit.com.uy/imgs/productos/productos3_11275.jpg"
"1778257048-6","https://www.infinit.com.uy/catalogo/imagen-audio/infinit/","28","Auricular Energy Sistem Headphones Style 3 Bt Space","198573","Auricular Energy Sistem  Headphones Style 3 Bt Space","-15%","AZUL","ENERGY SISTEM","15","33","USD","Cód.",",00","","Color","Comprar","","Destacado","Antes","USD","Ahora","IVA inc.","En stock","En stock",",00","Cantidad","","%","https://www.infinit.com.uy/imgs/productos/productos3_27207.jpg"
"1778257048-7","https://www.infinit.com.uy/catalogo/imagen-audio/infinit/","36","Garantía: 6 MESES / NUEVO","PAR327","Parlante Portable Xiaomi Mi Xmyx04wm Bluetooth Batería Resistente Al Agua Conexion Audio Dual 185Grs Hasta 10 Horas","-16%","NEGRO","XIAOMI","16","43","USD","Cód.",",00","","Color","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock",",00","Cantidad","","%","https://www.infinit.com.uy/imgs/productos/productos3_23112.jpg"
"1778257048-8","https://www.infinit.com.uy/catalogo/imagen-audio/infinit/","39","Garantía: FUNCIONAL / NUEVO","AC010XTK12","Soporte Tv XTECH Xta-475 Para Pared De 32 a 70 Pulgadas","-11%","NEGRO","XTECH","11","44","USD","Cód.",",00","","Color","Comprar","","Destacado","Antes","USD","Ahora","IVA inc.","En stock","En stock",",00","Cantidad","","%","https://www.infinit.com.uy/imgs/productos/productos3_16265.jpg"
"1778257048-9","https://www.infinit.com.uy/catalogo/imagen-audio/infinit/","39","Garantía: 1 AÑO / NUEVO","MWTY3AM","Auricular APPLE Earpods Lightning MWTY3AM/A","-3%","BLANCO","APPLE","3","40","USD","Cód.",",00","Consultar","Color","","","","Antes","USD","Ahora","IVA inc.","Agotado","Agotado",",00","","","%","https://www.infinit.com.uy/imgs/productos/productos3_35993.jpg"
"1778257048-10","https://www.infinit.com.uy/catalogo/imagen-audio/infinit/","74","Garantía: FUNCIONAL / NUEVO","PAN17","Pantalla Para Proyector BRATECK 77"" 16:9 Peba77 Blanca De Colgar Retractil Carcaza De Aluminio","","BLANCO","BRATECK","","0","USD","Cód.",",00","Consultar","Medida","","77""","","Antes","USD","Precio","IVA inc.","Agotado","Agotado",",00","","Color","","https://www.infinit.com.uy/imgs/productos/productos3_33499.jpg"
