web_scraper_order,web_scraper_start_url,price,sku,name,data,description,position,brand,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,image
"1778257094-1","https://www.infinit.com.uy/catalogo/impresion/infinit/","19","AS222HEW11","Cartucho De Tinta Original Hp 667 Tricolor Ink Advantage Hasta 100 paginas","","Garantía: FUNCIONAL / NUEVO","","HP","0","USD","Cód.","","Comprar","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos1_18339.jpg"
"1778257094-2","https://www.infinit.com.uy/catalogo/impresion/infinit/","19","7001422205","Rollo Etiquetas Continuo Compatible Brother Cdk-22205 62mm x 30.48mts","","Garantía: FUNCIONAL / NUEVO","","","17","USD","Cód.","","Comprar","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos1_33472.jpg"
"1778257094-3","https://www.infinit.com.uy/catalogo/impresion/infinit/","20","748","Toner Compatible Tn1060 Para Impresoras Brothers","","GARANTIA FUNCIONAL / NUEVO","","","17","USD","Cód.","NEGRO","Comprar","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","Color","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos1_8562.jpg"
"1778257094-4","https://www.infinit.com.uy/catalogo/impresion/infinit/","144","IMP165","Impresora Laser HP M111W Monocromática Usb Wifi","-1%","Garantía: 1 AÑO / NUEVO","1","HP","146","USD","Cód.","","Comprar","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_40035.jpg"
"1778257094-5","https://www.infinit.com.uy/catalogo/impresion/infinit/","148","XP2200","Impresora Multifuncion EPSON XP2200 Compacta Con Wifi Escaner y Juego Cartuchos","","Garantía: 1 AÑO / NUEVO","","EPSON","136","USD","Cód.","NEGRO","Comprar","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","Color","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_33437.jpg"
"1778257094-6","https://www.infinit.com.uy/catalogo/impresion/infinit/","184","161213","Impresora BROTHER Hl-1212w Laser Monocromatica Inalambrica Con Wifi y Usb","-22%","Garantía: 1 AÑO / NUEVO","22","BROTHER","235","USD","Cód.","NEGRO","Comprar","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","Color","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_8429.jpg"
"1778257094-7","https://www.infinit.com.uy/catalogo/impresion/infinit/","188","2314C004AB","Impresora CANON Pixma G1110 Con Sistema Continuo Chorro de Tinta Color Usb","-2%","Garantía: 1 AÑO / NUEVO","2","CANON","191","USD","Cód.","NEGRO","","Antes","USD",",00","Ahora","IVA inc.",",00","Agotado","Agotado","Color","","%","https://www.infinit.com.uy/imgs/productos/productos3_23457.jpg"
"1778257094-8","https://www.infinit.com.uy/catalogo/impresion/infinit/","197","180800","Impresora Etiquetas BROTHER QL-800 Usb Incluye Muestra De Etiquetas","","Garantía: 1 AÑO / NUEVO","","BROTHER","187","USD","Cód.","BLANCO","Comprar","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","Color","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_11548.jpg"
"1778257094-9","https://www.infinit.com.uy/catalogo/impresion/infinit/","226","IOOCPP763L","Impresora Ticket OCOM Ocpp-763-L Matrical 76mm","-1%","Garantía: 1 AÑO / NUEVO","1","OCOM","229","USD","Cód.","NEGRO","Comprar","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","Color","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_15867.jpg"
"1778257094-10","https://www.infinit.com.uy/catalogo/impresion/infinit/","226","IMP134","Impresora EPSON L1250 ECOTANK Sistema Continuo Color Wifi Escaner Fotocopiadora","","Garantía: 1 AÑO / NUEVO","","EPSON","0","USD","Cód.","NEGRO","Comprar","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Color","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_40334.jpg"
