web_scraper_order,web_scraper_start_url,price,description,sku,name,data,data2,brand,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,image
"1778256957-1","https://www.infinit.com.uy/catalogo/pc/infinit/","175","Garantía: 1 AÑO / RECERTIFICADO","CI5LENOVOM910QTINYPZ","Equipo Ultra Mini Pc LENOVO Tiny M910q Intel Core i5 6500t Ram 8Gb Ddr4 Ssd 256Gb 2x DPort Vga W10 Pro","-37%","NEGRO","LENOVO","37","279","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","Color",",00","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_32928.jpg"
"1778256957-2","https://www.infinit.com.uy/catalogo/pc/infinit/","210","Garantía: 6 MESES / RECERTIFICADO","HPELITEDESK705","Equipo Pc Ref. HP ELITEDESK705 Amd A10-8770 RAM 8Gb Ssd 256Gb Video AMD Wifi Coa Win10 64bit Pro","","","HP","","206","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos1_21170.jpg"
"1778256957-3","https://www.infinit.com.uy/catalogo/pc/infinit/","221","Garantía: 1 AÑO / REF. DE FABRICA A NUEVO","NOT3066","Notebook ASUS L510 Intel Core N5030 - 4Gb - 128Gb - Pantalla IPS 15.6 Full HD - W11 Home","-12%","AZUL OSCURO","ASUS","12","251","USD","Cód.","15,6""","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_41049.jpg"
"1778256957-4","https://www.infinit.com.uy/catalogo/pc/infinit/","286","Nuevo. Modelo IdeaPad 1i.","PRV-NOT3091","Notebook LENOVO IdeaPad 1i Intel N4500 - 4GB - 128GB Pantalla 14"" HD - Win 11","","","LENOVO","","0","USD","Cód.","","",",70","Comprar","","Nuevo","Antes","USD","Precio","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_41197.jpg"
"1778256957-5","https://www.infinit.com.uy/catalogo/pc/infinit/","296","Garantía: 1 AÑO EN EQUIPO / 6 MESES EN BATERÍA","NBI5DELL5480RFR","Notebook DELL LATITUDE 5480 Intel Core i5 6300u - RAM 8Gb - 256Gb - Pantalla 14 HD - Win 10 Pro","-2%","NEGRO","HP","2","301","USD","Cód.","14""","","","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida","","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_25926.jpg"
"1778256957-6","https://www.infinit.com.uy/catalogo/pc/infinit/","298","Garantía: 1 AÑO / RECERTIFICADO","NOT2376","Notebook LENOVO Thinkpad T470 Intel Core i5 7300u (2 Núcleos) - 8Gb- Ssd 256Gb - Pantalla 14 Full HD - W10 Pro","","NEGRO","LENOVO","","298","USD","Cód.","14""","","","Comprar","","","Antes","USD","Precio","IVA inc.","En stock","En stock","Color","Medida","","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos1_25933.jpg"
"1778256957-7","https://www.infinit.com.uy/catalogo/pc/infinit/","313","Garantía: 1 AÑO / RECERTIFICADO","CI7HPZ240","Equipo PC WORKSTATION HP Z240 Intel Core i7 - RAM 16Gb - Ssd 240Gb - Winodws 10 Pro","","NEGRO","HP","","0","USD","Cód.","","",",00","Comprar","","","Antes","USD","Precio","IVA inc.","En stock","En stock","","Color",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_40523.jpg"
"1778256957-8","https://www.infinit.com.uy/catalogo/pc/infinit/","319","Garantía: 1 AÑO / NUEVO","NOT3152","Notebook ASUS E510KA Intel Celeron N4500 (2 Core) - 4Gb - 128Gb - Pantalla 15.6 Fhd - W11","-14%","AZUL OSCURO","ASUS","14","372","USD","Cód.","15,6""","","","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida","","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_40011.jpg"
"1778256957-9","https://www.infinit.com.uy/catalogo/pc/infinit/","330","Nuevo. Modelo IdeaPad 1.","PRV-NOT3246","Notebook LENOVO IdeaPad 1i Intel N4500 - 4GB - 128GB Pantalla 15.6"" HD - Win 11","","","LENOVO","","0","USD","Cód.","","",",90","Comprar","","Nuevo","Antes","USD","Precio","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_41194.jpg"
"1778256957-10","https://www.infinit.com.uy/catalogo/pc/infinit/","340","Garantía: 1 AÑO / RECERTIFICADO","AIOI5DELL7440","All In One DELL Aio Optiplex 7440 Intel Core I5 6500u 3.2Ghz Ram 8Gb Ddr4 Nvme 240Gb Pantalla 23 Fhd W10P","-24%","NEGRO","DELL","24","449","USD","Cód.","23""","","","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida","","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_29574.jpg"
"1778256957-11","https://www.infinit.com.uy/catalogo/pc/infinit/","343","Garantía: 6 MESES / RECERTIFICADO","KIT1HPELITEDESK705","Equipo Pc Refabricado Hp Elitedesk 705 Amd A10-8770 3.8Ghz Ram 16Gb Ssd 240G Video Vega 7 Wifi Coa Win10 64bit Pro","","NEGRO","HP","","339","USD","Cód.","","Consultar",",00","","","","Antes","USD","Ahora","IVA inc.","Agotado","Agotado","","Color",",00","","","https://www.infinit.com.uy/imgs/productos/productos3_21173.jpg"
"1778256957-12","https://www.infinit.com.uy/catalogo/pc/infinit/","356","Garantía: 1 AÑO / NUEVO","I02164","Ultrabook Notebook CHUWI GEMIBOOK PLUS Intel N100 Quad Core - 8Gb - 256Gb - Pantalla 15.6 Full HD - W11","","GRIS","CHUWI","","0","USD","Cód.","15,6""","","","Comprar","","Nuevo","Antes","USD","Precio","IVA inc.","En stock","En stock","Color","Medida","","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_41301.jpg"
"1778256957-13","https://www.infinit.com.uy/catalogo/pc/infinit/","358","Garantía: 6 MESES / RECERTIFICADO","NOTHP640G4GEN8","Notebook HP PROBOOK 640 G4 Intel Core i5 8250u - 8Gb - 256Gb - Pantalla 14 Fhd Huella W11P","-7%","GRIS","HP","7","387","USD","Cód.","14""","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_34113.jpg"
"1778256957-14","https://www.infinit.com.uy/catalogo/pc/infinit/","375","Garantía: 1 AÑO / NUEVO","NOT2877","Ultrabook CHUWI Herobook Pro Intel Dual Core N4020 2.8Ghz Ram 8Gb Nvme Ssd 256Gb Pantalla 15.6 Ips Fhd Wifi Hdmi Win11","","GRIS","CHUWI","","293","USD","Cód.","14""","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_34889.jpg"
"1778256957-15","https://www.infinit.com.uy/catalogo/pc/infinit/","395","Garantía: 1 AÑO / RECERTIFICADO","HPPBOOK450G6","Notebook HP ProBook 450 G5/G6 Intel Core i5 8265u - 8Gb - 256Gb - Pantalla 15.6 HD -  W10p","","PLATA","HP","","0","USD","Cód.","15,6""","",",00","Comprar","","","Antes","USD","Precio","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_39486.jpg"
"1778256957-16","https://www.infinit.com.uy/catalogo/pc/infinit/","396","Garantía: 6 MESES / RECERTIFICADO","MACAIRBMT122LL","APPLE Macbook Air Intel Core i5 1.8Ghz Ram 8Gb Ssd Nvme 128Gb Pantalla 13.3 Año 2017 BMT12LL/A","-21%","GRIS","APPLE","21","501","USD","Cód.","13,3""","",",00","Comprar","Destacado","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_34109.jpg"
"1778256957-17","https://www.infinit.com.uy/catalogo/pc/infinit/","399","Garantía: 1 AÑO / RECERTIFICADO","CI5HP800G4TINY","Mini Pc HP Elitedesk 800 G4 Intel Core i5 8500T - 8Gb - 240Gb - Wifi - Teclado y Mouse - Win11 Pro 64bit Español","","NEGRO","HP","","281","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","Color",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_34706.jpg"
"1778256957-18","https://www.infinit.com.uy/catalogo/pc/infinit/","399","Garantía: 1 AÑO / RECERTIFICADO","NBDELL5400","Notebook DELL Latitude 5400 Intel Core i5 8265u - 16Gb - Ssd 256Gb - Pantalla 14 Full HD - Win11 Pro","","GRIS OSCURO","DELL","","0","USD","Cód.","14""","",",00","Comprar","","","Antes","USD","Precio","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_38622.jpg"
"1778256957-19","https://www.infinit.com.uy/catalogo/pc/infinit/","399","Garantía: 1 AÑO / RECERTIFICADO","NBR3DELL3585PZ","Notebook DELL INSPIRION 3585 Amd Ryzen 3 2200U - 16Gb - 256Gb - Pantalla 15.6 Hd - W10","-34%","NEGRO","DELL","34","608","USD","Cód.","15,6""","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_40951.jpg"
"1778256957-20","https://www.infinit.com.uy/catalogo/pc/infinit/","407","Garantía: 1 AÑO / RECERTIFICADO","OKNOT76","Notebook DELL Latitude 5410 Intel Core i5 10310u - 8Gb - 256Gb - Pantalla 14 Full HD - W11P","-2%","GRIS","DELL","2","414","USD","Cód.","14""","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_39416.jpg"
"1778256957-21","https://www.infinit.com.uy/catalogo/pc/infinit/","422","Garantía: 6 MESES / RECERTIFICADO","NBI7DELL7490RFR256","Notebook DELL Latitude 7490 Intel Core i7 8650U (4 Nucleos) - 8Gb - 256Gb - Pantalla 14 Full Hd - W11P","-7%","NEGRO","DELL","7","456","USD","Cód.","14""","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_41032.jpg"
"1778256957-22","https://www.infinit.com.uy/catalogo/pc/infinit/","427","Garantía: 6 MESES / RECERTIFICADO","FULIFE5511","Notebook FUJITSU LIFEBOOK E5511 Intel Core i5 1145G7 - 8Gb - 256Gb - Pantalla 15.6 Full HD - W11 Pro","","NEGRO","FUJITSU","","0","USD","Cód.","15,6""","",",00","Comprar","","Nuevo","Antes","USD","Precio","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_41487.jpg"
"1778256957-23","https://www.infinit.com.uy/catalogo/pc/infinit/","438","Garantía: 6 MESES / RECERTIFICADO","KITHPELITEDESK705","Equipo Pc Ref. HP ELITEDESK 705 Amd A10-8770 RAM 16Gb Ssd 512Gb Video Vega 7 Wifi Coa Win10 64bit Pro","","NEGRO","HP","","433","USD","Cód.","","Consultar",",00","","","","Antes","USD","Ahora","IVA inc.","Agotado","Agotado","","Color",",00","","","https://www.infinit.com.uy/imgs/productos/productos3_21171.jpg"
"1778256957-24","https://www.infinit.com.uy/catalogo/pc/infinit/","458","Garantía: 6 MESES / RECERTIFICADO","KITTINYM83I54590","Equipo Ultra Mini Pc Lenovo Tiny M83 Intel Core i5 4590t 2.0Ghz Ram 16Gb Ddr3 Ssd 480Gb Vga y 2x Dp Win10 64bit","","","LENOVO","","370","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_23880.jpg"
"1778256957-25","https://www.infinit.com.uy/catalogo/pc/infinit/","464","Garantía: 1 AÑO EN EQUIPO / 6 MESES EN BATERÍA","KITNBI5DELL5480RFRF","Notebook DELL LATITUDE 5480 Intel Core i5 6300u - RAM 16Gb - 480Gb - Pantalla 14 HD - Win 10 Pro","-1%","NEGRO","DELL","1","469","USD","Cód.","14""","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_20295.jpg"
