web_scraper_order,web_scraper_start_url,price,description,sku,name,data,data2,data3,brand,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,image
"1778257012-1","https://www.infinit.com.uy/catalogo/perifericos/infinit/","4","Garantía: 5 DIAS / NUEVO","KI0771","Soporte Montaje Kingston Para Ssd/Hdd De 2.5 a 3.5","-33%","GRIS","33","","6","USD","Cód.","Comprar","","","Destacado","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","Cantidad","Color","%","https://www.infinit.com.uy/imgs/productos/productos3_17774.jpg"
"1778257012-2","https://www.infinit.com.uy/catalogo/perifericos/infinit/","7","Garantía: 1 AÑO / NUEVO","195607","Mouse LOGITECH M90 Negro 1000 Dpi","-13%","NEGRO","13","LOGITECH","8","USD","Cód.","Comprar","","","","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","Cantidad","Color","%","https://www.infinit.com.uy/imgs/productos/productos3_16407.jpg"
"1778257012-3","https://www.infinit.com.uy/catalogo/perifericos/infinit/","7","Garantía: 2 AÑOS / NUEVO","LEC90","Lector Memoria LEXAR RW300U Usb-A 3.1 a MicroSD SDHC","","NEGRO","","LEXAR","0","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_40774.jpg"
"1778257012-4","https://www.infinit.com.uy/catalogo/perifericos/infinit/","8","Garantía: 3 MESES / NUEVO","SHOT8376","Teclado Shot Gaming Shot8376 Home And Office Slim Usb Negro","","NEGRO","","SHOT GAMING","0","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_29613.jpg"
"1778257012-5","https://www.infinit.com.uy/catalogo/perifericos/infinit/","9","Garantía: FUNCIONAL / NUEVO","SOPORTET19","Soporte Para Laptop Notebook De Mesa o Escritorio Ajustable","-36%","NEGRO","36","VARIAS MARCAS","14","USD","Cód.","Comprar","","","Destacado","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","Cantidad","Color","%","https://www.infinit.com.uy/imgs/productos/productos3_30393.jpg"
"1778257012-6","https://www.infinit.com.uy/catalogo/perifericos/infinit/","10","GARANTIA FUNCIONAL / NUEVO","25","Teclado Dell Kb216 Qwerty Ingles Usb Negro Cableado","-17%","","17","DELL","12","USD","Cód.","Comprar","","","Destacado","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","Cantidad","","%","https://www.infinit.com.uy/imgs/productos/productos3_12641.jpg"
"1778257012-7","https://www.infinit.com.uy/catalogo/perifericos/infinit/","10","Garantía: 1 AÑO / NUEVO","195762","Mouse LOGITECH M110 Negro Silencioso USB-A","","NEGRO","","LOGITECH","0","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_38849.jpg"
"1778257012-8","https://www.infinit.com.uy/catalogo/perifericos/infinit/","10","Garantía: 1 AÑO / NUEVO","195765","Mouse LOGITECH M110 Gris Silencioso USB-A","-97%","GRIS","97","LOGITECH","295","USD","Cód.","Comprar","","","","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","Cantidad","Color","%","https://www.infinit.com.uy/imgs/productos/productos3_38858.jpg"
"1778257012-9","https://www.infinit.com.uy/catalogo/perifericos/infinit/","11","GARANTIA FUNCIONAL / NUEVO","T03035","Adaptador Conversor Convertidor De Hdmi a Vga Hembra Con Audio","","NEGRO","","GENERICO","9","USD","Cód.","Comprar","","","Destacado","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_8488.jpg"
"1778257012-10","https://www.infinit.com.uy/catalogo/perifericos/infinit/","13","Garantía: 1 Año de Garantía / Nuevo","195523","Teclado Logitech K120 Usb Perfil Planos Silencioso En Español","-7%","NEGRO","7","LOGITECH","14","USD","Cód.","Comprar","","","Destacado","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","Cantidad","Color","%","https://www.infinit.com.uy/imgs/productos/productos3_12311.jpg"
"1778257012-11","https://www.infinit.com.uy/catalogo/perifericos/infinit/","13","Garantía: 1 AÑO / NUEVO","195672","Mouse Inalambrico LOGITECH M170 2.4Ghz Usb Portatil","","ROJO","","LOGITECH","0","USD","Cód.","Comprar","","AZUL","","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","NEGRO","","https://www.infinit.com.uy/imgs/productos/productos3_22191.jpg"
"1778257012-12","https://www.infinit.com.uy/catalogo/perifericos/infinit/","15","Garantía: 1 Año de Garantía / Nuevo","195753","Auricular Headset LOGITECH H111 Stereo Con Microfono 3.5mm Cable 1.8mts","","NEGRO","","LOGITECH","15","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_12305.jpg"
"1778257012-13","https://www.infinit.com.uy/catalogo/perifericos/infinit/","15","Garantía: 1 AÑO / NUEVO","COM77","Combo Teclado y Mouse GENIUS KM160 Cableado Usb","","NEGRO","","GENIUS","0","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_14104.jpg"
"1778257012-14","https://www.infinit.com.uy/catalogo/perifericos/infinit/","15","Garantía: 1 AÑO / NUEVO","192393","Mouse LOGITECH M196 Bluetooth Grafito 910-007456","-6%","GRIS OSCURO","6","LOGITECH","16","USD","Cód.","Comprar","","","","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","Cantidad","Color","%","https://www.infinit.com.uy/imgs/productos/productos3_38616.jpg"
"1778257012-15","https://www.infinit.com.uy/catalogo/perifericos/infinit/","15","Garantía: 1 AÑO / NUEVO","192394","Mouse LOGITECH M196 Bluetooth Blanco 910-007457","-6%","BLANCO","6","LOGITECH","16","USD","Cód.","Comprar","","","","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","Cantidad","Color","%","https://www.infinit.com.uy/imgs/productos/productos3_38618.jpg"
"1778257012-16","https://www.infinit.com.uy/catalogo/perifericos/infinit/","15","Garantía: 1 AÑO / NUEVO","192395","Mouse LOGITECH M196 Bluetooth Rosa 910-007458","-6%","ROSA","6","LOGITECH","16","USD","Cód.","Comprar","","","","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","Cantidad","Color","%","https://www.infinit.com.uy/imgs/productos/productos3_38620.jpg"
"1778257012-17","https://www.infinit.com.uy/catalogo/perifericos/infinit/","16","Garantía: 1 AÑO / NUEVO","195864","Mouse Logitech M190 Inalámbrico 1000dpi Full Size Alcance 10mts","","ROJO","","LOGITECH","0","USD","Cód.","Comprar","","","Destacado","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_34248.jpg"
"1778257012-18","https://www.infinit.com.uy/catalogo/perifericos/infinit/","16","Garantía: 1 AÑO / NUEVO","195862","Mouse LOGITECH M190 Inalámbrico 1000dpi Full Size Alcance 10mts","","GRIS","","LOGITECH","0","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_34249.jpg"
"1778257012-19","https://www.infinit.com.uy/catalogo/perifericos/infinit/","16","Garantía: 1 AÑO / NUEVO","195863","Mouse Logitech M190 Inalámbrico 1000dpi Full Size Alcance 10mts","","AZUL","","LOGITECH","0","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_34255.jpg"
"1778257012-20","https://www.infinit.com.uy/catalogo/perifericos/infinit/","16","Garantía: 1 AÑO / NUEVO","PAD128UC300","Pendrive ADATA 128GB UC300 USB-C Negro/Verde","","","","ADATA","0","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","","","https://www.infinit.com.uy/imgs/productos/productos3_40000.jpg"
"1778257012-21","https://www.infinit.com.uy/catalogo/perifericos/infinit/","17","Garantía: 1 AÑO / NUEVO","195554","Mouse LOGITECH M185 Negro 2.4Ghz 1000Dpi Inalambrico Portable","","ROJO","","LOGITECH","0","USD","Cód.","Comprar","","AZUL","","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","NEGRO","","https://www.infinit.com.uy/imgs/productos/productos3_16387.jpg"
"1778257012-22","https://www.infinit.com.uy/catalogo/perifericos/infinit/","17","Garantía: 1 AÑO / NUEVO","COM101","Combo Teclado y Mouse Genius Km170 Cableado Usb","","NEGRO","","GENIUS","0","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_19884.jpg"
"1778257012-23","https://www.infinit.com.uy/catalogo/perifericos/infinit/","19","Garantía: 1 AÑO / NUEVO","195631","Parlantes LOGITECH S150 2.0 1.2w Rms Conexion Usb","","NEGRO","","LOGITECH","0","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_8499.jpg"
"1778257012-24","https://www.infinit.com.uy/catalogo/perifericos/infinit/","19","Garantía: 1 Año de Garantía / Nuevo","195576","Combo LOGITECH MK120 Teclado y Mouse Usb","","","","LOGITECH","18","USD","Cód.","Comprar","","","","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","Cantidad","","","https://www.infinit.com.uy/imgs/productos/productos3_12280.jpg"
"1778257012-25","https://www.infinit.com.uy/catalogo/perifericos/infinit/","20","Garantía: 1 Año de Garantía / Nuevo","195627","Mouse LOGITECH M280 1000Dpi Inalambrico Portable Negro","","ROJO","","LOGITECH","20","USD","Cód.","Comprar","","AZUL","","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","NEGRO","","https://www.infinit.com.uy/imgs/productos/productos3_14051.jpg"
"1778257012-26","https://www.infinit.com.uy/catalogo/perifericos/infinit/","23","Garantía: 1 AÑO / NUEVO","195644","Auricular LOGITECH H151 Stereo Con microfono Ajustable Conexion 3.5mm","-4%","NEGRO","4","LOGITECH","24","USD","Cód.","Comprar","","","","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","Cantidad","Color","%","https://www.infinit.com.uy/imgs/productos/productos3_8502.jpg"
"1778257012-27","https://www.infinit.com.uy/catalogo/perifericos/infinit/","23","Garantía: 1 AÑO / NUEVO","192248","Mouse Inalambrico LOGITECH M240 Bluetooth Silent Touch Gris","","GRIS","","LOGITECH","0","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_38744.jpg"
"1778257012-28","https://www.infinit.com.uy/catalogo/perifericos/infinit/","23","Garantía: 1 AÑO / NUEVO","192249","Mouse Inalambrico LOGITECH M240 Bluetooth Silent Touch Blanco","","BLANCO","","LOGITECH","0","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_38748.jpg"
"1778257012-29","https://www.infinit.com.uy/catalogo/perifericos/infinit/","23","Garantía: 3 MESES / NUEVO","KM5221WBKB","Combo DELL KM5221WBKB Teclado y Mouse Inalambrico Wireless","","NEGRO","","DELL","0","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_39359.jpg"
"1778257012-30","https://www.infinit.com.uy/catalogo/perifericos/infinit/","25","Garantía: 2 AÑOS / NUEVO","TLUE330","Hub Usb Tplink Ue330 3 Puertos Usb 3.0 Ethernet Rj45 Gigabit","-4%","","4","TP-LINK","26","USD","Cód.","","Consultar","","","Antes","USD",",00","Ahora","IVA inc.",",00","Agotado","Agotado","","","%","https://www.infinit.com.uy/imgs/productos/productos3_12113.jpg"
"1778257012-31","https://www.infinit.com.uy/catalogo/perifericos/infinit/","26","Garantía: 1 AÑO / NUEVO","KC411WSP","Combo Teclado y Mouse","","","","MARVO","0","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","","","https://www.infinit.com.uy/imgs/productos/productos3_31968.jpg"
"1778257012-32","https://www.infinit.com.uy/catalogo/perifericos/infinit/","28","Garantía: 1 AÑO / NUEVO","195588","Mouse Logitech M317 Negro 2.4 Ghz 1000 Dpi Inalambrico Portable","-3%","NEGRO","3","LOGITECH","29","USD","Cód.","Comprar","","","Destacado","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","Cantidad","Color","%","https://www.infinit.com.uy/imgs/productos/productos3_16391.jpg"
"1778257012-33","https://www.infinit.com.uy/catalogo/perifericos/infinit/","29","Garantía: 1 AÑO / NUEVO","195680","Combo LOGITECH MK235 Teclado y Mouse Inalambrico Wireless 10mts Alcance Resistente Al Agua","","GRIS","","LOGITECH","0","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_9916.jpg"
"1778257012-34","https://www.infinit.com.uy/catalogo/perifericos/infinit/","29","Garantía: 6 MESES / NUEVO","264","Bandeja Cooler Para Notebook THERMALTAKE Lifecool 2 Hasta 17 Pulgadas Negro","","NEGRO","","TT","0","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_35889.jpg"
"1778257012-35","https://www.infinit.com.uy/catalogo/perifericos/infinit/","30","Garantía: 1 AÑO / NUEVO","P192300","Combo LOGITECH MK270 Teclado y Mouse Multimedia Inalambrico 10mts Alcance Idioma Español","-9%","","9","LOGITECH","33","USD","Cód.","Comprar","","","","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","Cantidad","","%","https://www.infinit.com.uy/imgs/productos/productos3_9921.jpg"
"1778257012-36","https://www.infinit.com.uy/catalogo/perifericos/infinit/","32","Garantía: 1 AÑO / NUEVO","195663","Teclado LOGITECH K400 Plus Para Pc Tv Inalambrico Con Touchpad Integrado Windows Android MacOS","","NEGRO","","LOGITECH","32","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_12275.jpg"
"1778257012-37","https://www.infinit.com.uy/catalogo/perifericos/infinit/","33","Garantía: 2 AÑOS / NUEVO","195524","Camara Web LOGITECH C270 Hd 720p Usb","-11%","","11","LOGITECH","37","USD","Cód.","Comprar","","","","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","Cantidad","","%","https://www.infinit.com.uy/imgs/productos/productos3_7372.jpg"
"1778257012-38","https://www.infinit.com.uy/catalogo/perifericos/infinit/","33","Garantía: 1 AÑO / NUEVO","195865","Combo LOGITECH MK295 Teclado y Mouse Inalambrico Silenttouch 2.4Ghz Hasta 10mts A Prueba De Agua","-13%","NEGRO","13","LOGITECH","38","USD","Cód.","Comprar","","","","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","Cantidad","Color","%","https://www.infinit.com.uy/imgs/productos/productos3_13092.jpg"
"1778257012-39","https://www.infinit.com.uy/catalogo/perifericos/infinit/","33","Garantía: 1 AÑO / NUEVO","MCAIR","Mouse Gamer COUGAR AirBlader 16000 Dpi Cableado Usb","-11%","NEGRO","11","COUGAR","37","USD","Cód.","Comprar","","","","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","En stock","Cantidad","Color","%","https://www.infinit.com.uy/imgs/productos/productos3_31594.jpg"
"1778257012-40","https://www.infinit.com.uy/catalogo/perifericos/infinit/","34","Garantía: 1 AÑO / NUEVO","MM901JBL37","Audifono Auricular JBL Tune 500 Con Microfono 3.5mm Negro","","NEGRO","","JBL","32","USD","Cód.","","Consultar","","","Antes","USD",",00","Ahora","IVA inc.",",00","Agotado","Agotado","","Color","","https://www.infinit.com.uy/imgs/productos/productos3_16453.jpg"
"1778257012-41","https://www.infinit.com.uy/catalogo/perifericos/infinit/","34","Garantía: 6 MESES / NUEVO","MM901JBL38","Audifono Auricular JBL Tune 500 Con Microfono 3.5mm Blanco","","BLANCO","","JBL","0","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_40313.jpg"
"1778257012-42","https://www.infinit.com.uy/catalogo/perifericos/infinit/","35","Garantía: 1 AÑO / NUEVO","192434","Combo LOGITECH MK250 Inalambrico Teclado y Mouse Bt 920-013513","","NEGRO","","LOGITECH","0","USD","Cód.","Comprar","","","","Antes","USD",",00","Precio","IVA inc.",",00","En stock","En stock","Cantidad","Color","","https://www.infinit.com.uy/imgs/productos/productos3_41393.jpg"
