web_scraper_order,web_scraper_start_url,price,sku,description,name,data,brand,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,image
"1778257180-1","https://www.infinit.com.uy/catalogo/seguridad/infinit/","35","ES213HIK49","Garantía: 1 AÑO / NUEVO","Camara Hikvison Bullet 2.8mm Turbo Fhd 1080p Ip66","","HIKVISION","","0","USD","Cód.","","Comprar","BLANCO","En stock","Antes","USD",",00","Precio","IVA inc.",",00","En stock","Color","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_15889.jpg"
"1778257180-2","https://www.infinit.com.uy/catalogo/seguridad/infinit/","37","DS2CD1023G0EI","Garantía: 1 AÑO / NUEVO","Camara de Seguridad HIKVISION Mini Bullet DS-2CD1023G0E-I 2Mp Full Hd Exterior 2.8mm Alcance 30mts","","HIKVISION","","0","USD","Cód.","","Comprar","","En stock","Antes","USD",",00","Precio","IVA inc.",",00","En stock","","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_39764.jpg"
"1778257180-3","https://www.infinit.com.uy/catalogo/seguridad/infinit/","39","TAPOC211","Garantía: 1 AÑO / NUEVO","Camara De Seguridad IP Wifi TPLINK Tapo C211 3Mpx Domotica Vision Nocturna","","TP-LINK","","0","USD","Cód.","Consultar","","NEGRO","Agotado","Antes","USD",",00","Precio","IVA inc.",",00","Agotado","Color","","","https://www.infinit.com.uy/imgs/productos/productos3_39997.jpg"
"1778257180-4","https://www.infinit.com.uy/catalogo/seguridad/infinit/","42","TAPOC212","Garantía: 1 AÑO / NUEVO","Camara Seguridad TPLINK TAPO C212 Wifi 2k 2560x1440 3mp 360 Grados Vision Nocturna Compatible Con MicroSD Hasta 512Gb","-18%","TP-LINK","18","51","USD","Cód.","","Comprar","","En stock","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_33097.jpg"
"1778257180-5","https://www.infinit.com.uy/catalogo/seguridad/infinit/","45","TAPOC220","Garantía: 1 AÑO / NUEVO","Camara Seguridad TPLINK TAPO C220 Wifi 2K QHD 360 Grados Vision Nocturna Compatible Con MicroSD Hasta 512Gb","","TP-LINK","","0","USD","Cód.","","Comprar","BLANCO","En stock","Antes","USD",",00","Precio","IVA inc.",",00","En stock","Color","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_39921.jpg"
"1778257180-6","https://www.infinit.com.uy/catalogo/seguridad/infinit/","49","469","Garantía: 6 MESES / NUEVO","CAMARA SMANOS IP6 HD 720P INTERIOR WIFI MICROSD APP","-64%","SMANOS","64","136","USD","Cód.","","Comprar","GRIS OSCURO","En stock","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","Color","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_11135.jpg"
"1778257180-7","https://www.infinit.com.uy/catalogo/seguridad/infinit/","49","TAPOC222","Garantía: 1 AÑO / NUEVO","Camara De Seguridad Ip Wifi TPLINK TAPO C222 4Mpx Domotica Vision Nocturna","","TP-LINK","","0","USD","Cód.","","Comprar","BLANCO","En stock","Antes","USD",",00","Precio","IVA inc.",",00","En stock","Color","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_39991.jpg"
"1778257180-8","https://www.infinit.com.uy/catalogo/seguridad/infinit/","52","TAPOC230","Garantía: 1 AÑO / NUEVO","Camara De Seguridad Ip Wifi TPLINK Tapo C230 5Mpx Domotica Vision Nocturna","","TP-LINK","","0","USD","Cód.","","Comprar","BLANCO","En stock","Antes","USD",",00","Precio","IVA inc.",",00","En stock","Color","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_39994.jpg"
"1778257180-9","https://www.infinit.com.uy/catalogo/seguridad/infinit/","54","TAPOC310","Garantía: 1 AÑO / NUEVO","Camara De Seguridad Ip Wifi TPLINK Tapo C310 3Mp Vision Nocturna Exterior Con Ranura Para Memoria MicroSD","-4%","TP-LINK","4","56","USD","Cód.","","Comprar","","En stock","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_20368.jpg"
"1778257180-10","https://www.infinit.com.uy/catalogo/seguridad/infinit/","64","3341","Garantía: 1 AÑO / NUEVO","Camara de Seguridad Ip Hikvision Ds-2cd1023g0e-i 2Mp Full Hd Exterior 2.8mm Alcance 30mts","-9%","HIKVISION","9","70","USD","Cód.","","Comprar","BLANCO","En stock","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","Color","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_19999.jpg"
"1778257180-11","https://www.infinit.com.uy/catalogo/seguridad/infinit/","67","TLTAPOC320WS","Garantía: 1 AÑO / NUEVO","Camara De Seguridad Wifi TPLINK TAPO C320ws 2k Uhd 4mp Vision Nocturna Exterior Con Ranura Para Memoria MicroSD","-3%","TP-LINK","3","69","USD","Cód.","","Comprar","","En stock","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_24184.jpg"
"1778257180-12","https://www.infinit.com.uy/catalogo/seguridad/infinit/","74","VC35028","Garantía: 2 AÑOS / NUEVO","Camara Seguridad TPLINK Vigi C350 Bullet Bid IP67 2.8mm 5mp 2.8K 2880x1620","","TP-LINK","","0","USD","Cód.","","Comprar","","En stock","Antes","USD",",00","Precio","IVA inc.",",00","En stock","","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_38649.jpg"
"1778257180-13","https://www.infinit.com.uy/catalogo/seguridad/infinit/","76","KITTAPOC31064GB","Garantía: 1 AÑO / NUEVO","Camara De Seguridad Ip Wifi Tp-link Tapo C310 3Mp Vision Nocturna Exterior Incluye Memoria MicroSD 64Gb C10","-3%","TP-LINK","3","78","USD","Cód.","Consultar","","","Agotado","Antes","USD",",00","Ahora","IVA inc.",",00","Agotado","","","%","https://www.infinit.com.uy/imgs/productos/productos3_20592.jpg"
"1778257180-14","https://www.infinit.com.uy/catalogo/seguridad/infinit/","76","660","Garantía: 6 MESES / RECERTIFICADO","Camara Seguridad Safesky H6-Ahd200 Full Hd 1080p 2.0Mpx Exterior PAL","","SAFESKY","","0","USD","Cód.","","Comprar","GRIS OSCURO","En stock","Antes","USD",",00","Precio","IVA inc.",",00","En stock","Color","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_23689.jpg"
"1778257180-15","https://www.infinit.com.uy/catalogo/seguridad/infinit/","89","KITTLTAPOC320WS","Garantía: 1 AÑO / NUEVO","Camara Seguridad TPLINK TAPO C320ws Wifi 2K 2560x1440 4mp Exterior Nocturna Incluye Memoria MicroSD 64Gb C10","","TP-LINK","","80","USD","Cód.","Consultar","","","Agotado","Antes","USD",",00","Ahora","IVA inc.",",00","Agotado","","","","https://www.infinit.com.uy/imgs/productos/productos3_7792.jpg"
"1778257180-16","https://www.infinit.com.uy/catalogo/seguridad/infinit/","90","KITTAPOC310128GB","Garantía: 1 AÑO / NUEVO","Camara De Seguridad Ip Wifi TP-LINK TAPO C310 3Mp Vision Nocturna Exterior Incluye Memoria MicroSD 128Gb C10","","TP-LINK","","88","USD","Cód.","","Comprar","","En stock","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_20735.jpg"
"1778257180-17","https://www.infinit.com.uy/catalogo/seguridad/infinit/","103","KITTLTAPOC320WS128","Garantía: 1 AÑO / NUEVO","Camara Seguridad TPLINK TAPO C320ws Wifi 2K 2560x1440 4mp Exterior Nocturna Incluye Memoria MicroSD 128Gb C10","","TP-LINK","","87","USD","Cód.","Consultar","","","Agotado","Antes","USD",",00","Ahora","IVA inc.",",00","Agotado","","","","https://www.infinit.com.uy/imgs/productos/productos3_25570.jpg"
"1778257180-18","https://www.infinit.com.uy/catalogo/seguridad/infinit/","104","C540W","Garantía: 2 AÑOS / NUEVO","Camara Seguridad TPLINK VIGI C540W Full Color PTZ 4mp 2K 2560x1440p Wifi Exterior","-1%","TP-LINK","1","105","USD","Cód.","","Comprar","","En stock","Antes","USD",",00","Ahora","IVA inc.",",00","En stock","","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_40283.jpg"
